UKPRN_of_registering_provider,POPULATION_TYPE,INDICATOR_NAME,MODE,LEVEL,SPLIT_IND_TYPE,SPLIT_IND,YEAR,SUPP_REASON,INDICATOR_VALUE,DENOMINATOR,NUMERIC_THRESHOLD,BELOW_THRESHOLD,ABOVE_THRESHOLD,BENCHMARK_VALUE,DIFFERENCE,BELOW_BENCH,ABOVE_BENCH,INDICATOR_VALUE_NUM,BENCHMARK_VALUE_NUM,DIFFERENCE_NUM,DENOMINATOR_NUM,FOCUS_FLAG,COHORT_FLAG
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Year,Year2,2020,,90.7,200,70,0.0,100.0,90.8,-0.1,52.2,47.8,90.7,90.8,-0.1,200.0,Watch,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,DeprivationQuintile,IMDQ3_5,2019-2022,,91.4,290,70,0.0,100.0,91.4,0.0,48.0,52.0,91.4,91.4,0.0,290.0,Watch,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,SubjectOfStudy,CAH10-01,2019-2022,,94.2,50,70,0.0,100.0,94.2,0.0,49.6,50.4,94.2,94.2,0.0,50.0,Watch,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,DeprivationQuintile,IMDQ3_5,2019-2022,,91.4,290,70,0.0,100.0,91.4,0.0,49.8,50.2,91.4,91.4,0.0,290.0,Watch,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,SubjectOfStudy,CAH10-01,2019-2022,,94.2,50,70,0.0,100.0,94.2,0.0,46.2,53.8,94.2,94.2,0.0,50.0,Watch,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Sex,Female,2019-2022,,90.9,380,70,0.0,100.0,90.6,0.2,43.1,56.9,90.9,90.6,0.2,380.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Sex,Female,2019-2022,,90.9,380,70,0.0,100.0,90.6,0.2,4.3,95.7,90.9,90.6,0.2,380.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Year,Year3,2021,,88.9,120,70,0.0,100.0,88.6,0.3,46.0,54.0,88.9,88.6,0.3,120.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Year,Year3,2021,,88.9,120,70,0.0,100.0,88.6,0.3,15.7,84.3,88.9,88.6,0.3,120.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Domicile,UK,2019-2022,,91.0,530,70,0.0,100.0,90.7,0.3,0.0,99.7,91.0,90.7,0.3,530.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Domicile,UK,2019-2022,,91.0,530,70,0.0,100.0,90.7,0.3,38.9,61.1,91.0,90.7,0.3,530.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,PartnershipType,RegisteredAndTaught,2019-2022,,91.1,530,70,0.0,100.0,90.7,0.4,36.2,63.8,91.1,90.7,0.4,530.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Overall,Overall indicator,2019-2022,,91.1,530,70,0.0,100.0,90.7,0.4,0.0,100.0,91.1,90.7,0.4,530.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,PartnershipType,Taught,2019-2022,,91.1,530,70,0.0,100.0,90.7,0.4,0.0,100.0,91.1,90.7,0.4,530.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Overall,Overall indicator,2019-2022,,91.1,530,70,0.0,100.0,90.7,0.4,36.4,63.6,91.1,90.7,0.4,530.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,ABCSQuintile,ABCSQ2_3,2019-2022,,91.7,250,70,0.0,100.0,91.1,0.6,0.0,100.0,91.7,91.1,0.6,250.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,ABCSQuintile,ABCSQ2_3,2019-2022,,91.7,250,70,0.0,100.0,91.1,0.6,36.7,63.3,91.7,91.1,0.6,250.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Sex,Male,2019-2022,,91.7,150,70,0.0,100.0,91.1,0.6,38.3,61.7,91.7,91.1,0.6,150.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Sex,Male,2019-2022,,91.7,150,70,0.0,100.0,91.1,0.6,0.0,99.8,91.7,91.1,0.6,150.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Disability,NoKnownDisability,2019-2022,,91.9,450,70,0.0,100.0,90.9,1.0,0.0,100.0,91.9,90.9,1.0,450.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Disability,NoKnownDisability,2019-2022,,91.9,450,70,0.0,100.0,90.9,1.0,20.9,79.1,91.9,90.9,1.0,450.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,DeprivationQuintile,IMDQ1_2,2019-2022,,90.6,230,70,0.0,100.0,89.5,1.1,27.5,72.5,90.6,89.5,1.1,230.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,DeprivationQuintile,IMDQ1_2,2019-2022,,90.6,230,70,0.0,100.0,89.5,1.1,0.0,100.0,90.6,89.5,1.1,230.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Ethnicity,Black,2019-2022,,91.1,140,70,0.0,100.0,89.5,1.6,24.0,76.0,91.1,89.5,1.6,140.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Ethnicity,Black,2019-2022,,91.1,140,70,0.0,100.0,89.5,1.6,0.0,100.0,91.1,89.5,1.6,140.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,ABCSQuintile,ABCSQ1,2019-2022,,91.6,200,70,0.0,100.0,89.4,2.3,12.7,87.3,91.6,89.4,2.3,200.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,ABCSQuintile,ABCSQ1,2019-2022,,91.6,200,70,0.0,100.0,89.4,2.3,0.0,100.0,91.6,89.4,2.3,200.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,Ethnicity,Asian,2019-2022,,91.5,70,70,0.0,100.0,88.4,3.2,0.0,100.0,91.5,88.4,3.2,70.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Ethnicity,Asian,2019-2022,,91.5,70,70,0.0,100.0,88.4,3.2,13.1,86.9,91.5,88.4,3.2,70.0,OK,OK (>=50)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,AgeOnCommencement,Age31andOver,2019-2022,,94.6,290,70,0.0,100.0,90.9,3.7,0.0,99.1,94.6,90.9,3.7,290.0,OK,OK (>=50)
10003678,TaughtOrRegistered_(TorR),Continuation,Apprenticeship,AllUndergraduates,AgeOnCommencement,Age31andOver,2019-2022,,94.6,290,70,0.0,100.0,90.9,3.7,0.0,100.0,94.6,90.9,3.7,290.0,OK,OK (>=50)
